단어,개수,label
성찰하며,10,
복귀해,7,
돈,6,
기록했다고,14,
하나증권,8,
진단키트,9,
아일리아,7,
구체적으로,9,
조원을,12,
제공서정진,6,
성립되면서,10,
법적인,6,
딸로,8,
뒤늦게,21,
문자,6,
재원을,10,
전해졌다,10,
재고자산,9,
한국투자증권,6,
현금성,9,
기회가,10,
분기,9,
하나증권은,9,
일회성,12,
추세적,7,
하락에,15,
영향이,6,
숙여,6,
거듭,9,
투자로,6,
셀트리온,6,
애널리스트는,7,
제목의,8,
다만,6,
양육비를,13,
발표는,6,
밝혔다서,18,
최근,9,
말했다서,7,
제기했다,7,
노릇을,13,
주장하고,9,
거액을,17,
자녀로,11,
법원에,7,
서진석,26,
셀트리온셀트리온제약,9,
의장과,8,
서준석,31,
의장,9,
점유율도,7,
지속하면서,6,
다해,6,
영업익,6,
창업주인,13,
법정,7,
기자간담회에서,10,
발언하고,12,
말했다발로,8,
작업도,6,
힘,7,
고려하고,6,
공정거래법,6,
재산은,7,
재무제표,13,
딸,7,
되고,7,
등재됐다,7,
생활비,6,
재산을,8,
회장에,7,
차남,18,
실종됐다는,7,
시간여,7,
복귀가,13,
실종,19,
마신,6,
술을,8,
관계에,6,
커뮤니티,8,
불만을,11,
소양,10,
지키기,11,
이제,7,
지침을,12,
소방수,11,
정기주주총회에서,18,
총수로서,11,
공지,9,
착용,7,
비판,7,
그치지,6,
장남,12,
법적으로,7,
합병과,12,
진두지휘할,8,
서,18,
산적한,13,
일선,11,
주간,10,
말도,9,
측이,8,
물러나면서,16,
그룹을,27,
환경에,27,
급격한,28,
역할로,20,
현직에,8,
돌아올,12,
약속한,8,
복귀에,13,
신속하고,11,
경영진의,12,
주주와,8,
이사회의,23,
사내이사로,24,
인수합병,10,
그의,7,
사용되고,7,
호적에는,7,
공동연구,15,
분석까지,6,
단백질이나,6,
안의,6,
셀트리온이,6,
항체의약품,7,
달성을,6,
논현동,18,
회장과,32,
씨는,22,
달에,6,
월까지,6,
요구하고,14,
씨의,8,
계열사가,6,
대표,11,
정밀,9,
확장하게,11,
하게,6,
연구개발을,8,
명예회장이,107,
연락이,7,
부사장은,12,
들어가기,6,
기자들이,8,
모여,9,
과거,12,
법원,10,
했지만,6,
조정,17,
성립에,12,
친생자임을,13,
성장동력을,8,
계열사인,8,
승계,6,
행사할,6,
이름으로,10,
사건을,19,
년간,10,
총수가,9,
양상을,12,
임원,10,
합병,11,
지금,8,
질문에,16,
송도컨벤시아에서,29,
제기,34,
친인척,11,
고소했다고,13,
물러난,13,
소유,9,
일선으로,7,
혼외,10,
주주들은,30,
청구한,8,
자녀를,14,
난,11,
번도,17,
본인이,9,
자녀들을,10,
돌보려고,14,
파탄에,14,
반박했다,8,
불충실해,12,
부친인,7,
번,6,
이르렀고,6,
억원,6,
지급했다고,7,
그런데도,7,
있다면서,6,
실종자,6,
호텔에서,9,
발견된,12,
판단했다,8,
제가,12,
그룹은,8,
시일,7,
항체치료제,16,
컨벤시아에서,11,
복귀와,9,
제출을,7,
주총서,6,
성금을,9,
성금,16,
억원을,13,
기탁했다고,7,
성금은,6,
산불로,6,
구호품,8,
지원과,7,
복구,9,
위기가정,6,
용돈을,9,
용돈,16,
장학,12,
소외계층,6,
청소년,13,
명을,6,
중고생에게,6,
약속했다,7,
이재민을,6,
피해지역,8,
조속히,6,
항암제에,13,
비용종을,10,
동반한,12,
만성비부비동염,7,
오말리주맙,6,
불가리아,16,
개국에서,14,
명을,16,
졸레어는,10,
제넨테크와,6,
노바티스가,6,
바이오의약품으로,7,
만료됐으며,10,
본격화하면서,7,
보여온,12,
원활히,9,
프롤리아,10,
제넨테크와,6,
노바티스가,9,
는,9,
결과에서,9,
주까지의,14,
일,6,
목소리가,6,
명예회장은,102,
적힌,6,
일을,7,
직원들은,14,
직원들을,6,
은퇴를,6,
서로,8,
말씀을,11,
이내에,6,
신약과,8,
창립,12,
디바이스,6,
배경을,6,
조원,9,
조억원,6,
파이프라인은,6,
일시,10,
기,11,
디지털헬스케어,13,
판단,7,
자격으로,8,
충북지역,8,
심정을,9,
뭐,8,
답변맞습니다,11,
사실,13,
그래서,6,
현재는,6,
끝나면,11,
들어가야,7,
사업도,9,
일부터,6,
일까지,7,
부산,8,
벡스코에서,8,
제차,8,
제차,8,
대한장연구학회,9,
향상을,6,
일본,10,
확장을,9,
충남,8,
주민들이,6,
복귀할,8,
국제학술대회에,6,
의결했다고,17,
마일스톤을,9,
는,6,
마무리,10,
본다고,8,
준비는,7,
개월,10,
일시적,16,
실무,7,
주간,7,
주까지,7,
간지럼,9,
점수,6,
투여군에서,6,
비부비동염,7,
알러지성,8,
결과다셀트리온은,7,
마무리하고,10,
마무리해,6,
리제네론이,7,
습성,10,
임기는,19,
상황에서,7,
매물이,6,
내가,10,
의장을,6,
이사,20,
신고,8,
경찰,10,
마포경찰서에,11,
접수됐다,8,
이사가,13,
에,17,
전화를,15,
먹고,9,
배터리가,6,
황반부종,16,
시작,11,
외삽을,6,
시력,8,
손상의,6,
신청에도,7,
황반변성,6,
종료될,7,
중점적으로,6,
내년에,8,
비임상,7,
이끌,6,
창업주,9,
위기가,15,
임기로,17,
공동의장,43,
후보자로,23,
선임,38,
주주총회가,7,
비율을,6,
행정절차가,8,
유진투자증권,7,
복귀는,16,
수립에,6,
연구팀은,7,
선임했다,6,
본다,6,
현업에,6,
주주들을,11,
금융시장이,14,
셀트리온홀딩스를,19,
의결했다,7,
합병도,7,
셀트리온제약의,14,
명예회장,40,
이사의,14,
마포서는,8,
관할,7,
경찰서인,7,
연수경찰서에,7,
연수서는,8,
남동구,16,
일대에서,6,
구급대에,7,
주주총회에,15,
신경안정제를,7,
사건,14,
리스크를,7,
필요하다고,6,
필요해,15,
체계도,8,
신속하게,21,
것이고,10,
년까지,6,
오너가,8,
결정을,8,
마련할,6,
구축할,7,
들어온,6,
의약외품,15,
년이다,8,
경영진은,7,
의사결정을,21,
구체화하고,6,
실행을,6,
비전,6,
공동의장으로서,14,
리더십이,15,
진출,7,
지을,6,
주주의,6,
돌아오겠다고,8,
세계가,10,
직판망을,7,
셀트리온셀트리온헬스케어셀트리온제약,11,
주총에서,14,
주주들과,8,
퇴진,7,
관찰하고,7,
저는,7,
것이다,7,
하고,7,
명예회장으로,8,
기회는,7,
소방수,9,
항암제,8,
면모를,7,
가중되는,12,
베그젤마,7,
생기면,7,
현직으로,12,
경영진에,6,
손해,7,
주주는,10,
주총,27,
입이,11,
열,11,
개라도,11,
말이,16,
명예회장,8,
등기임원으로,8,
명예회장으로서,6,
그룹과,6,
경영진을,12,
대표해서,6,
보람을,8,
느껴야,6,
복귀하는,6,
확보하는데,7,
기자들과,9,
사별,15,
부진,6,
사과의,7,
안건은,8,
보수한도,7,
안건,6,
의결,7,
의장인,8,
시간,11,
연수경찰서,8,
가족은,6,
접수,13,
시간여만인,6,
소래포구,9,
정서적,11,
종결,8,
역임,6,
주주들의,7,
복귀한다,14,
정기주주총회,6,
승인과,9,
불확실성,10,
나라도,6,
합치는,7,
대표해,8,
주총이,7,
경영에서,6,
경찰은,9,
이송됐다,6,
경제의,13,
해드려,6,
서씨의,13,
서씨가,7,
서씨는,7,
권해순,6,
랩허브,15,
스타트업과,6,
생태계,6,
극복과,7,
재정비를,8,
있어요,7,
위기뿐,6,
확정된다,8,
년이,6,
기점이라는,11,
선임은,10,
요청함에,6,
추진한,14,
유통망의,7,
전열을,7,
가다듬는데,7,
선임안이,6,
확정되면,7,
마련하는데,6,
